category,question,answer
network,Why is my internet slow?,Network congestion during peak hours or weak signal strength can reduce speed.
support,How to contact Airtel?,You can contact Airtel support by dialing 121.
billing,Why is my bill high?,Extra usage or roaming charges may increase your bill.
network,How to fix no signal?,Restart your device or check network coverage.
plans,What are 5G plans?,Airtel  offer multiple prepaid and postpaid 5G plans.
give me more data like this
network,Why is my internet disconnecting?,Network issues or router problems can cause disconnections.
support,How to reset my password?,You can reset your password through the Airtel app or website.
billing,How to check my data usage?,You can check your data usage in the Airtel app or by dialing *123#.
network,Why is my signal weak?,Obstructions or distance from the tower can weaken your signal.
plans,Are there any family plans?,Airtel        offers family plans with shared data and benefits.
network,How to improve my internet speed?,Try moving closer to the router or using a wired connection for better speed.
support,How to report a network issue?,You can report network issues through the Airtel app or by contacting customer support.
billing,How to view my bill?,You can view your bill in the Airtel app or on the website under your account section.
network,Why is my 5G not working?,5G may not be available in your area or your device           may not be compatible.
plans,What are the benefits of 5G?,5G offers faster speeds, lower latency, and improved connectivity for multiple devices.          
